"Year","Ext","Den","Calc","Name"
1955,1.245,1.123,1.398,Abraham 01H
1956,1.194,1.166,1.392,Abraham 01H
1957,1.372,1.131,1.551,Abraham 01H
1958,1.651,1.148,1.895,Abraham 01H
1959,1.194,1.132,1.352,Abraham 01H
1960,1.473,1.149,1.693,Abraham 01H
1961,0.965,1.102,1.064,Abraham 01H
1962,1.219,1.121,1.367,Abraham 01H
1963,1.168,1.129,1.319,Abraham 01H
1964,1.041,1.098,1.144,Abraham 01H
1965,1.295,1.122,1.453,Abraham 01H
1966,0.711,1.144,0.813,Abraham 01H
1967,1.651,1.121,1.851,Abraham 01H
1968,1.549,1.108,1.716,Abraham 01H
1969,0.66,1.117,0.737,Abraham 01H
1970,1.676,1.097,1.839,Abraham 01H
1971,1.346,1.15,1.548,Abraham 01H
1972,1.194,1.121,1.338,Abraham 01H
1973,1.08,1.116,1.205,Abraham 01H
1974,0.965,1.079,1.041,Abraham 01H
1975,0.533,1.059,0.565,Abraham 01H
1976,1.702,1.263,2.149,Abraham 01H
1977,1.092,1.299,1.419,Abraham 01H
1978,0.864,1.332,1.151,Abraham 01H
1979,0.991,1.371,1.358,Abraham 01H
1980,0.686,1.346,0.923,Abraham 01H
1981,0.838,1.339,1.122,Abraham 01H
1982,0.94,1.257,1.182,Abraham 01H
1983,1.194,1.238,1.477,Abraham 01H
1984,0.94,1.306,1.227,Abraham 01H
1985,0.635,1.321,0.839,Abraham 01H
1986,1.524,1.271,1.936,Abraham 01H
1987,0.94,1.061,0.997,Abraham 01H
1988,0.737,1.044,0.769,Abraham 01H
1989,1.321,1.011,1.336,Abraham 01H
1990,0.813,1.014,0.824,Abraham 01H
1991,1.168,1.122,1.311,Abraham 01H
1992,1.219,1.123,1.369,Abraham 01H
1993,1.092,1.113,1.216,Abraham 01H
1994,1.143,1.076,1.23,Abraham 01H
1995,1.092,1.086,1.186,Abraham 01H
1996,0.838,1.09,0.914,Abraham 01H
1997,1.295,1.07,1.386,Abraham 01H
1998,0.762,1.081,0.824,Abraham 01H
1999,0.635,1.097,0.696,Abraham 01H
2000,0.711,1.053,0.749,Abraham 01H
