"Year","Ext","Den","Calc","Name"
1955,1.372,1.297,1.779,Kelso Reef 02A
1956,1.93,1.281,2.472,Kelso Reef 02A
1957,1.753,1.271,2.228,Kelso Reef 02A
1958,1.575,1.355,2.134,Kelso Reef 02A
1959,1.6,1.405,2.249,Kelso Reef 02A
1960,1.778,1.49,2.65,Kelso Reef 02A
1961,1.499,1.398,2.095,Kelso Reef 02A
1962,1.803,1.317,2.374,Kelso Reef 02A
1963,1.473,1.302,1.918,Kelso Reef 02A
1964,1.88,1.257,2.363,Kelso Reef 02A
1965,1.918,1.297,2.488,Kelso Reef 02A
1966,1.956,1.406,2.75,Kelso Reef 02A
1967,1.93,1.315,2.538,Kelso Reef 02A
1968,1.575,1.277,2.011,Kelso Reef 02A
1969,1.778,1.354,2.407,Kelso Reef 02A
1970,1.6,1.38,2.208,Kelso Reef 02A
1971,1.575,1.354,2.132,Kelso Reef 02A
1972,1.727,1.318,2.276,Kelso Reef 02A
1973,1.854,1.36,2.521,Kelso Reef 02A
1974,1.702,1.267,2.156,Kelso Reef 02A
1975,2.159,1.142,2.465,Kelso Reef 02A
1976,1.905,1.119,2.131,Kelso Reef 02A
1977,2.286,1.114,2.547,Kelso Reef 02A
1978,2.032,1.072,2.179,Kelso Reef 02A
1979,1.041,1.096,1.141,Kelso Reef 02A
1980,2.362,1.102,2.604,Kelso Reef 02A
1981,1.803,1.102,1.987,Kelso Reef 02A
1982,2.311,1.108,2.561,Kelso Reef 02A
1983,1.702,1.163,1.979,Kelso Reef 02A
1984,1.549,1.142,1.77,Kelso Reef 02A
1985,2.083,1.111,2.315,Kelso Reef 02A
1986,1.854,1.166,2.162,Kelso Reef 02A
1987,2.21,1.262,2.79,Kelso Reef 02A
1988,1.422,1.282,1.823,Kelso Reef 02A
1989,2.007,1.201,2.41,Kelso Reef 02A
1990,1.956,1.167,2.282,Kelso Reef 02A
1991,1.905,1.146,2.183,Kelso Reef 02A
1992,2.134,1.176,2.51,Kelso Reef 02A
1993,1.88,1.166,2.192,Kelso Reef 02A
1994,2.261,1.11,2.51,Kelso Reef 02A
1995,1.88,1.096,2.061,Kelso Reef 02A
1996,2.464,1.11,2.735,Kelso Reef 02A
1997,2.438,1.102,2.688,Kelso Reef 02A
1998,2.184,1.141,2.492,Kelso Reef 02A
1999,2.108,1.125,2.372,Kelso Reef 02A
2000,2.489,1.135,2.825,Kelso Reef 02A
