"Year","Ext","Den","Calc","Name"
1955,1.702,1.203,2.047,Kelso Reef 02B
1956,1.778,1.284,2.283,Kelso Reef 02B
1957,1.524,1.208,1.84,Kelso Reef 02B
1958,2.083,1.23,2.561,Kelso Reef 02B
1959,1.092,1.133,1.238,Kelso Reef 02B
1960,1.956,1.212,2.37,Kelso Reef 02B
1961,1.372,1.256,1.722,Kelso Reef 02B
1962,2.108,1.295,2.731,Kelso Reef 02B
1963,1.397,1.356,1.894,Kelso Reef 02B
1964,2.032,1.296,2.634,Kelso Reef 02B
1965,2.057,1.293,2.661,Kelso Reef 02B
1966,1.651,1.23,2.031,Kelso Reef 02B
1967,1.676,1.214,2.035,Kelso Reef 02B
1968,1.981,1.202,2.381,Kelso Reef 02B
1969,1.6,1.219,1.95,Kelso Reef 02B
1970,2.032,1.265,2.571,Kelso Reef 02B
1971,1.448,1.259,1.822,Kelso Reef 02B
1972,1.803,1.265,2.281,Kelso Reef 02B
1973,2.057,1.243,2.558,Kelso Reef 02B
1974,1.041,1.105,1.151,Kelso Reef 02B
1975,1.753,1.085,1.901,Kelso Reef 02B
1976,2.21,1.136,2.511,Kelso Reef 02B
1977,2.108,1.121,2.363,Kelso Reef 02B
1978,1.676,1.099,1.842,Kelso Reef 02B
1979,2.184,1.067,2.331,Kelso Reef 02B
1980,2.134,1.079,2.303,Kelso Reef 02B
1981,1.88,1.07,2.011,Kelso Reef 02B
1982,2.337,1.069,2.498,Kelso Reef 02B
1983,1.981,1.077,2.133,Kelso Reef 02B
1984,1.626,1.111,1.807,Kelso Reef 02B
1985,2.057,1.13,2.325,Kelso Reef 02B
1986,1.854,1.184,2.196,Kelso Reef 02B
1987,1.676,1.171,1.963,Kelso Reef 02B
1988,1.676,1.238,2.075,Kelso Reef 02B
1989,1.88,1.139,2.141,Kelso Reef 02B
1990,2.311,1.143,2.641,Kelso Reef 02B
1991,1.448,1.13,1.636,Kelso Reef 02B
1992,2.616,1.108,2.899,Kelso Reef 02B
1993,1.676,1.122,1.88,Kelso Reef 02B
1994,2.515,1.128,2.835,Kelso Reef 02B
1995,1.702,1.117,1.901,Kelso Reef 02B
1996,2.54,1.075,2.731,Kelso Reef 02B
1997,1.981,1.072,2.124,Kelso Reef 02B
1998,2.159,1.089,2.35,Kelso Reef 02B
1999,1.88,1.043,1.96,Kelso Reef 02B
2000,2.235,1.06,2.37,Kelso Reef 02B
