year,Annual_GHG_emision_(in_billion_tons),Global_warming_contribution_from_fossil_fuels,Co2_emissions_from_fossil_fuels(in billion tons),total_consumption of fossil fuel(Annually),Ocean_acidification(in_PH)
1950,16.52,0.15122315,5929342000,20139,8.15
1951,17.18,0.15553942,6381405700,21000,8.15
1952,17.51,0.1600214,6467437000,21900,8.15
1953,17.92,0.16464329,6650861600,22800,8.15
1954,18.35,0.16936749,6789497300,23700,8.15
1955,19.42,0.17463258,7443861000,24600,8.15
1956,20.26,0.18019839,7925980700,25500,8.15
1957,20.84,0.18598497,8185614000,26600,8.15
1958,21.43,0.19202381,8417160000,28100,8.15
1959,22.5,0.19852163,8854662000,29200,8.15
1960,22.24,0.20536186,9386421000,31004,8.15
1961,22.09,0.21223594,9414383000,33300,8.149
1962,22.07,0.2193359,9746556000,35650,8.148
1963,22.57,0.22684613,10266046000,37500,8.147
1964,22.12,0.23471947,10823619000,38900,8.146
1965,23.28,0.24317719,11309690000,40494.0343,8.145
1966,23.92,0.2520855,11861708000,42655.643,8.144
1967,24.55,0.26106375,12236328000,44249.403,8.143
1968,25.41,0.27042642,12904336000,46888.7757,8.142
1969,26.17,0.2805095,13760840000,50126.608,8.141
1970,27.68,0.29120082,14898157000,53374.526,8.14
1971,27.97,0.3020562,15502787000,55397.485,8.138
1972,28.86,0.31332543,16223440000,58361.315,8.136
1973,29.78,0.32514322,17083500000,61783.535,8.134
1974,29.66,0.336814,17009382000,61580.939,8.132
1975,29.95,0.34829375,17049979000,61697.518,8.13
1976,31.03,0.36018568,17985243000,65113.877,8.128
1977,31.67,0.37227213,18494652000,67216.984,8.126
1978,32.18,0.3846351,19063955000,69465.417,8.124
1979,32.73,0.39721063,19603001000,71670.873,8.122
1980,32.77,0.40938342,19482442000,70676.076,8.12
1981,32.38,0.42100814,19016950000,69849.578,8.118
1982,32.42,0.43258414,18865373000,69135.762,8.116
1983,33.1,0.4440453,18985900000,69854.554,8.114
1984,34.68,0.45587537,19641730000,72535.483,8.113
1985,34.98,0.4679335,20305132000,73945.267,8.112
1986,35.56,0.4799843,20607515000,75402.845,8.11
1987,36.01,0.49236223,21245784000,78023.426,8.11
1988,36.73,0.50523794,22077385000,80700.834,8.109
1989,37.15,0.51812494,22378970000,82329.064,8.11
1990,37.52,0.5309018,22752700000,83005.355,8.112
1991,37.73,0.54379433,23229475000,83328.867,8.113
1992,37.34,0.5562418,22567199000,83823.633,8.109
1993,37.48,0.56862277,22798350000,83979.995,8.108
1994,38.45,0.5812173,23034776000,85033.203,8.109
