"Year","Ext","Den","Calc","Name"
1955,1.829,1.251,2.288,Rib Reef 01A
1956,1.753,1.174,2.058,Rib Reef 01A
1957,2.489,1.249,3.11,Rib Reef 01A
1958,1.118,1.191,1.331,Rib Reef 01A
1959,2.337,1.209,2.825,Rib Reef 01A
1960,2.261,1.221,2.759,Rib Reef 01A
1961,1.473,1.26,1.856,Rib Reef 01A
1962,2.311,1.205,2.784,Rib Reef 01A
1963,2.362,1.204,2.845,Rib Reef 01A
1964,1.397,1.161,1.622,Rib Reef 01A
1965,2.54,1.176,2.988,Rib Reef 01A
1966,1.422,1.134,1.614,Rib Reef 01A
1967,1.702,1.136,1.932,Rib Reef 01A
1968,1.423,1.151,1.632,Rib Reef 01A
1969,1.143,1.165,1.332,Rib Reef 01A
1970,1.981,1.216,2.41,Rib Reef 01A
1971,1.016,1.175,1.194,Rib Reef 01A
1972,1.143,1.176,1.345,Rib Reef 01A
1973,2.311,1.204,2.782,Rib Reef 01A
1974,1.422,1.186,1.688,Rib Reef 01A
1975,2.286,1.136,2.597,Rib Reef 01A
1976,1.753,1.022,1.791,Rib Reef 01A
1977,1.676,0.996,1.669,Rib Reef 01A
1978,2.413,1.049,2.532,Rib Reef 01A
1979,3.048,1.157,3.526,Rib Reef 01A
1980,2.032,1.191,2.419,Rib Reef 01A
1981,1.702,1.097,1.867,Rib Reef 01A
1982,1.575,1.1,1.732,Rib Reef 01A
1983,2.032,1.087,2.209,Rib Reef 01A
1984,1.981,1.096,2.172,Rib Reef 01A
1985,1.981,1.133,2.244,Rib Reef 01A
1986,2.235,1.293,2.889,Rib Reef 01A
1987,1.448,1.311,1.898,Rib Reef 01A
1988,2.235,1.323,2.957,Rib Reef 01A
1989,2.108,1.283,2.706,Rib Reef 01A
1990,2.184,1.207,2.636,Rib Reef 01A
1991,0.991,1.183,1.172,Rib Reef 01A
1992,2.616,1.201,3.142,Rib Reef 01A
1993,1.981,1.162,2.301,Rib Reef 01A
1994,2.057,1.147,2.36,Rib Reef 01A
1995,2.083,1.096,2.283,Rib Reef 01A
1996,2.057,1.134,2.333,Rib Reef 01A
1997,1.905,1.138,2.169,Rib Reef 01A
1998,2.007,1.181,2.37,Rib Reef 01A
1999,1.956,1.111,2.172,Rib Reef 01A
2000,1.753,1.128,1.976,Rib Reef 01A
