"Year","Ext","Den","Calc","Name"
1955,2.032,1.223,2.485,Rib Reef 03A
1956,2.819,1.207,3.402,Rib Reef 03A
1957,1.651,1.226,2.024,Rib Reef 03A
1958,2.362,1.241,2.931,Rib Reef 03A
1959,2.566,1.329,3.41,Rib Reef 03A
1960,2.769,1.326,3.672,Rib Reef 03A
1961,1.524,1.325,2.02,Rib Reef 03A
1962,1.295,1.372,1.778,Rib Reef 03A
1963,3.023,1.226,3.706,Rib Reef 03A
1964,2.896,1.143,3.311,Rib Reef 03A
1965,1.829,1.138,2.08,Rib Reef 03A
1966,1.753,1.184,2.075,Rib Reef 03A
1967,1.93,1.211,2.337,Rib Reef 03A
1968,1.473,1.179,1.737,Rib Reef 03A
1969,1.88,1.114,2.094,Rib Reef 03A
1970,1.422,1.123,1.598,Rib Reef 03A
1971,2.032,1.136,2.309,Rib Reef 03A
1972,1.499,1.177,1.764,Rib Reef 03A
1973,2.057,1.197,2.462,Rib Reef 03A
1974,2.134,1.155,2.464,Rib Reef 03A
1975,1.168,1.144,1.337,Rib Reef 03A
1976,1.88,1.146,2.155,Rib Reef 03A
1977,0.533,1.084,0.578,Rib Reef 03A
1978,2.235,1.142,2.552,Rib Reef 03A
1979,1.854,1.135,2.105,Rib Reef 03A
1980,2.388,1.129,2.695,Rib Reef 03A
1981,1.295,1.11,1.438,Rib Reef 03A
1982,2.464,1.109,2.732,Rib Reef 03A
1983,1.575,1.091,1.718,Rib Reef 03A
1984,1.88,1.079,2.029,Rib Reef 03A
1985,1.854,1.136,2.107,Rib Reef 03A
1986,1.448,1.13,1.636,Rib Reef 03A
1987,1.854,1.159,2.149,Rib Reef 03A
1988,1.6,1.192,1.908,Rib Reef 03A
1989,1.727,1.122,1.939,Rib Reef 03A
1990,1.803,1.072,1.933,Rib Reef 03A
1991,1.93,1.078,2.082,Rib Reef 03A
1992,1.651,1.132,1.869,Rib Reef 03A
1993,2.769,1.133,3.137,Rib Reef 03A
1994,0.914,1.181,1.079,Rib Reef 03A
1995,1.93,1.207,2.33,Rib Reef 03A
1996,2.388,1.177,2.811,Rib Reef 03A
1997,1.905,1.222,2.328,Rib Reef 03A
1998,1.651,1.218,2.011,Rib Reef 03A
1999,1.651,1.219,2.012,Rib Reef 03A
2000,0.991,1.191,1.18,Rib Reef 03A
