"Year","Ext","Den","Calc","Name"
1955,1.422,1.298,1.847,Sweet Lip Reef 01A
1956,1.168,1.272,1.487,Sweet Lip Reef 01A
1957,1.346,1.29,1.736,Sweet Lip Reef 01A
1958,1.778,1.295,2.302,Sweet Lip Reef 01A
1959,0.965,1.262,1.218,Sweet Lip Reef 01A
1960,1.397,1.277,1.784,Sweet Lip Reef 01A
1961,1.067,1.314,1.402,Sweet Lip Reef 01A
1962,1.219,1.315,1.603,Sweet Lip Reef 01A
1963,0.66,1.284,0.848,Sweet Lip Reef 01A
1964,0.838,1.297,1.087,Sweet Lip Reef 01A
1965,1.067,1.279,1.364,Sweet Lip Reef 01A
1966,1.092,1.212,1.323,Sweet Lip Reef 01A
1967,1.321,1.274,1.683,Sweet Lip Reef 01A
1968,0.787,1.217,0.958,Sweet Lip Reef 01A
1969,0.991,1.173,1.162,Sweet Lip Reef 01A
1970,2.108,1.162,2.45,Sweet Lip Reef 01A
1971,1.6,1.097,1.755,Sweet Lip Reef 01A
1972,1.346,0.993,1.337,Sweet Lip Reef 01A
1973,1.372,1.003,1.376,Sweet Lip Reef 01A
1974,1.168,1.022,1.194,Sweet Lip Reef 01A
1975,1.753,1.085,1.902,Sweet Lip Reef 01A
1976,1.118,1.144,1.278,Sweet Lip Reef 01A
1977,0.686,1.083,0.743,Sweet Lip Reef 01A
1978,1.321,1.123,1.484,Sweet Lip Reef 01A
1979,0.914,1.098,1.004,Sweet Lip Reef 01A
1980,0.889,1.21,1.076,Sweet Lip Reef 01A
1981,0.965,1.193,1.151,Sweet Lip Reef 01A
1982,0.991,1.198,1.187,Sweet Lip Reef 01A
1983,1.372,1.203,1.65,Sweet Lip Reef 01A
1984,1.143,1.095,1.252,Sweet Lip Reef 01A
1985,1.397,1.19,1.663,Sweet Lip Reef 01A
1986,1.143,1.241,1.418,Sweet Lip Reef 01A
1987,2.21,1.199,2.649,Sweet Lip Reef 01A
1988,2.074,1.179,2.446,Sweet Lip Reef 01A
1989,1.27,1.061,1.348,Sweet Lip Reef 01A
1990,1.422,1.021,1.453,Sweet Lip Reef 01A
1991,0.813,1.077,0.875,Sweet Lip Reef 01A
1992,2.032,1.14,2.317,Sweet Lip Reef 01A
1993,0.991,1.15,1.139,Sweet Lip Reef 01A
1994,2.159,1.175,2.537,Sweet Lip Reef 01A
1995,0.94,1.169,1.098,Sweet Lip Reef 01A
1996,0.864,1.245,1.075,Sweet Lip Reef 01A
1997,1.143,1.193,1.363,Sweet Lip Reef 01A
1998,1.194,1.129,1.348,Sweet Lip Reef 01A
1999,1.651,0.985,1.626,Sweet Lip Reef 01A
2000,1.016,0.894,0.909,Sweet Lip Reef 01A
