"Year","Ext","Den","Calc","Name"
1955,1.092,1.15,1.256,Sweet Lip Reef 01B
1956,1.067,1.092,1.165,Sweet Lip Reef 01B
1957,1.168,1.106,1.292,Sweet Lip Reef 01B
1958,1.626,1.165,1.894,Sweet Lip Reef 01B
1959,1.499,1.164,1.744,Sweet Lip Reef 01B
1960,1.27,1.201,1.525,Sweet Lip Reef 01B
1961,1.778,1.262,2.243,Sweet Lip Reef 01B
1962,1.295,1.242,1.609,Sweet Lip Reef 01B
1963,0.965,1.295,1.25,Sweet Lip Reef 01B
1964,1.092,1.283,1.401,Sweet Lip Reef 01B
1965,0.737,1.282,0.945,Sweet Lip Reef 01B
1966,0.737,1.305,0.961,Sweet Lip Reef 01B
1967,1.118,1.296,1.448,Sweet Lip Reef 01B
1968,1.563,1.24,1.912,Sweet Lip Reef 01B
1969,2.007,1.184,2.376,Sweet Lip Reef 01B
1970,1.321,1.061,1.402,Sweet Lip Reef 01B
1971,1.803,1.023,1.844,Sweet Lip Reef 01B
1972,1.295,1.006,1.303,Sweet Lip Reef 01B
1973,1.524,0.973,1.482,Sweet Lip Reef 01B
1974,1.194,1.073,1.281,Sweet Lip Reef 01B
1975,1.702,1.104,1.878,Sweet Lip Reef 01B
1976,1.27,1.174,1.492,Sweet Lip Reef 01B
1977,1.549,1.147,1.777,Sweet Lip Reef 01B
1978,1.676,1.177,1.972,Sweet Lip Reef 01B
1979,1.041,1.195,1.244,Sweet Lip Reef 01B
1980,1.118,1.137,1.271,Sweet Lip Reef 01B
1981,1.067,1.198,1.278,Sweet Lip Reef 01B
1982,1.448,1.198,1.735,Sweet Lip Reef 01B
1983,1.168,1.18,1.379,Sweet Lip Reef 01B
1984,1.321,1.18,1.559,Sweet Lip Reef 01B
1985,1.143,1.171,1.338,Sweet Lip Reef 01B
1986,1.448,1.238,1.792,Sweet Lip Reef 01B
1987,0.635,1.189,0.755,Sweet Lip Reef 01B
1988,1.651,1.256,2.074,Sweet Lip Reef 01B
1989,0.94,1.247,1.172,Sweet Lip Reef 01B
1990,1.118,1.204,1.345,Sweet Lip Reef 01B
1991,0.711,1.265,0.899,Sweet Lip Reef 01B
1992,1.676,1.339,2.245,Sweet Lip Reef 01B
1993,1.016,1.311,1.332,Sweet Lip Reef 01B
1994,0.965,1.115,1.076,Sweet Lip Reef 01B
1995,0.838,1.066,0.894,Sweet Lip Reef 01B
1996,1.803,1.119,2.019,Sweet Lip Reef 01B
1997,1.041,1.157,1.205,Sweet Lip Reef 01B
1998,1.651,1.146,1.893,Sweet Lip Reef 01B
1999,1.422,1.173,1.668,Sweet Lip Reef 01B
2000,1.397,1.186,1.656,Sweet Lip Reef 01B
